Company,QueryID,SubQueryID,Relation ID,Seq,Field,ParentFieldDataType,IsExpr,Field,ChildFieldDataType,IsExpr,AndOr,Not,(,),=,SystemFlag,SysRevID,SysRowID
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,64220208-765e-4e77-8f6a-e2c7e790247e,2,OrderNum,int,FALSE,OrderNum,int,FALSE,And,FALSE,,,=,TRUE,277958909,b98a1842-1107-40d7-8c4c-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,c1a6fa2e-f02a-4d5b-9b48-e2c7e790247e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958910,dec83e69-25b7-4c40-a24f-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,c1a6fa2e-f02a-4d5b-9b48-e2c7e790247e,2,OrderNum,int,FALSE,OrderNum,int,FALSE,And,FALSE,,,=,TRUE,277958911,c3e4acf0-2131-4646-b635-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,c1a6fa2e-f02a-4d5b-9b48-e2c7e790247e,3,OrderLine,int,FALSE,OrderLine,int,FALSE,And,FALSE,,,=,TRUE,277958913,88b1d2d7-1bb6-4a14-b120-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,5e2af36a-3157-470f-a4d2-e2c7e790247e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958914,407504d4-c0ec-4656-8fe4-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,5e2af36a-3157-470f-a4d2-e2c7e790247e,2,ProdCode,nvarchar,FALSE,ProdCode,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958915,8b22feac-9823-42f3-867e-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,f9a86045-f28c-4d50-b16d-e2c7e790247e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958916,eb2f49ff-6f00-4749-ba10-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,f9a86045-f28c-4d50-b16d-e2c7e790247e,2,OrderCSR,nvarchar,FALSE,SalesRepCode,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958917,b43c8244-69a6-412e-a845-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,e4a7f31a-b8bb-4500-8590-baeba22c297e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958918,de20f972-7759-4328-bca4-b25a00df764f
,COM-PoRelease,32bdda4b-5725-40aa-9360-8e14572c297e,e4a7f31a-b8bb-4500-8590-baeba22c297e,2,JobNum,nvarchar,FALSE,JobNum,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958919,e0d25d06-985c-4af6-a5d0-b25a00df764f
